State,Governor
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Hawaii,Democratic
Illinois,Democratic
Maine,Democratic
Minnesota,Democratic
Nevada,Democratic
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
Oregon,Democratic
Rhode Island,Democratic
Virginia,Democratic
Washington,Democratic
Maryland,Republican
Massachusetts,Republican
New Hampshire,Republican
Vermont,Republican
Kansas,Democratic
Kentucky,Democratic
Louisiana,Democratic
Michigan,Democratic
Montana,Democratic
North Carolina,Democratic
Pennsylvania,Democratic
Wisconsin,Democratic
Alabama,Republican
Alaska,Republican
Arizona,Republican
Arkansas,Republican
Florida,Republican
Georgia,Republican
Idaho,Republican
Indiana,Republican
Iowa,Republican
Mississippi,Republican
Missouri,Republican
Nebraska,Republican
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
West Virginia,Republican
Wyoming,Republican
